name,description,price,originalPrice,category,subcategory,brandId,model,partNumber,sku,image,images,rating,reviewCount,stock,leadTime,tags,featured,badge,specs,isActive
"Siemens S7-1200 PLC","Compact programmable logic controller for small automation tasks",450.00,520.00,Automation,PLC Controllers,"brand-uuid-001","S7-1200 CPU 1214C","6ES7214-1AG40-0XB0","SIE-S71200-001","https://cdn.example.com/siemens-s7-1200.jpg","[""https://cdn.example.com/s7-1200-1.jpg"",""https://cdn.example.com/s7-1200-2.jpg""]",4.8,24,35,"3-5 days","[""siemens"",""plc"",""automation""]",true,"Best Seller","{""inputs"":14,""outputs"":10,""voltage"":""24V DC"",""memory"":""100KB"",""weight"":""0.45kg""}",true
"ABB ACS580 VFD","Variable frequency drive for motor control in HVAC and industrial applications",780.00,890.00,Drives & Motors,Variable Frequency Drives,"brand-uuid-002","ACS580-01-04A6-4","ACS580-04A6","ABB-ACS580-001","https://cdn.example.com/abb-acs580.jpg","[""https://cdn.example.com/acs580-1.jpg"",""https://cdn.example.com/acs580-2.jpg"",""https://cdn.example.com/acs580-3.jpg""]",4.6,18,12,"5-7 days","[""abb"",""vfd"",""motor control""]",true,"Popular","{""power"":""2.2kW"",""voltage"":""380-480V"",""current"":""4.6A"",""phases"":""3-phase"",""weight"":""3.2kg""}",true
"Schneider Electric XB4 Push Button","Illuminated push button switch with LED indicator for control panels",28.50,35.00,Control Panels,Push Buttons,"brand-uuid-003","XB4BW34B5","XB4BW34B5","SCH-XB4-001","https://cdn.example.com/schneider-xb4.jpg","[""https://cdn.example.com/xb4-1.jpg""]",4.3,8,120,"2-3 days","[""schneider"",""push button"",""control panel""]",false,null,"{""voltage"":""24V"",""color"":""Green"",""type"":""Momentary"",""ipRating"":""IP66"",""mounting"":""22mm""}",true
"Phoenix Contact Surge Protector","Combined lightning current and surge arrester for power supply systems",165.00,195.00,Safety Systems,Surge Protection,"brand-uuid-004","VAL-MS 230/1+1-FM","2859432","PHO-VALMS-001","https://cdn.example.com/phoenix-valms.jpg","[""https://cdn.example.com/valms-1.jpg"",""https://cdn.example.com/valms-2.jpg""]",4.7,12,45,"3-5 days","[""phoenix"",""surge protector"",""safety""]",false,"New","{""voltage"":""230V AC"",""protection"":""Type 1+2"",""discharge"":""50kA"",""weight"":""0.18kg""}",true
"Omron E3Z Photoelectric Sensor","Compact photoelectric sensor with built-in amplifier for object detection",52.00,62.00,Sensors & Instrumentation,Photoelectric Sensors,"brand-uuid-005","E3Z-LS81","E3ZLS81","OMR-E3Z-001","https://cdn.example.com/omron-e3z.jpg","[""https://cdn.example.com/e3z-1.jpg""]",4.5,15,80,"2-3 days","[""omron"",""sensor"",""photoelectric""]",true,null,"{""detectionRange"":""100mm"",""output"":""NPN"",""voltage"":""12-24V DC"",""ipRating"":""IP67"",""cable"":""2m""}",true
"Prysmian Power Cable XLPE","3-core armored power cable with XLPE insulation for underground installation",85.00,100.00,Cables & Wiring,Power Cables,"brand-uuid-006","3C x 25 sq.mm","PRY-3C25","PRY-3C25-001","https://cdn.example.com/prysmian-cable.jpg","[""https://cdn.example.com/cable-1.jpg"",""https://cdn.example.com/cable-2.jpg""]",4.4,6,500,"1-2 days","[""cable"",""power"",""armored""]",false,null,"{""cores"":3,""crossSection"":""25 sq.mm"",""voltage"":""1.1kV"",""insulation"":""XLPE"",""armour"":""STA"",""length"":""per meter""}",true
"Siemens 3RT Contactor","3-pole power contactor for switching motors and resistive loads",68.00,78.00,Switchgear,Contactors,"brand-uuid-001","3RT2016-1BB41","3RT2016","SIE-3RT-001","https://cdn.example.com/siemens-3rt.jpg","[""https://cdn.example.com/3rt-1.jpg""]",4.6,20,65,"2-3 days","[""siemens"",""contactor"",""switchgear""]",false,null,"{""poles"":3,""voltage"":""24V DC"",""current"":""9A"",""power"":""4kW"",""auxContacts"":""1NO+1NC""}",true
"Rockwell 1769 Compact I/O","Compact I/O module for distributed control applications",320.00,380.00,Automation,I/O Modules,"brand-uuid-007","1769-IF8","1769-IF8","ROK-1769-001","https://cdn.example.com/rockwell-1769.jpg","[""https://cdn.example.com/1769-1.jpg"",""https://cdn.example.com/1769-2.jpg""]",4.7,9,20,"5-7 days","[""rockwell"",""allen bradley"",""io module""]",true,null,"{""channels"":8,""type"":""Analog Input"",""resolution"":""16-bit"",""voltage"":""24V DC""}",true
"ABB M2BA Motor","Three-phase low voltage induction motor for industrial applications",540.00,620.00,Drives & Motors,Induction Motors,"brand-uuid-002","M2BA 132SMA","M2BA-132SMA","ABB-M2BA-001","https://cdn.example.com/abb-m2ba.jpg","[""https://cdn.example.com/m2ba-1.jpg""]",4.5,11,8,"7-10 days","[""abb"",""motor"",""induction""]",false,null,"{""power"":""5.5kW"",""speed"":""1450 RPM"",""voltage"":""400V"",""frequency"":""50Hz"",""frame"":""132S"",""efficiency"":""IE3""}",true
"Schneider Emergency Stop","Mushroom head emergency stop push button with twist release",34.00,42.00,Safety Systems,Emergency Stops,"brand-uuid-003","XB4BS542","XB4BS542","SCH-XB4BS-001","https://cdn.example.com/schneider-estop.jpg","[""https://cdn.example.com/estop-1.jpg""]",4.9,30,90,"2-3 days","[""schneider"",""emergency stop"",""safety""]",true,"Top Rated","{""diameter"":""40mm"",""contacts"":""2NC"",""mounting"":""22mm"",""ipRating"":""IP66"",""color"":""Red/Yellow""}",true
